dataset,instance,counterfactual_bks_method,counterfactual_BKS
10X,IncT10x_2,MAT_rf_fo_3600s,142834.183
10X,IncT10x_3,MAT_rf_mip_3600s,87275.452
10X,IncT10x_4,MAT_rf_fo_3600s,172982.609
10X,IncT10x_5,MAT_mip_3600s,68914.12
10X,IncT10x_6,MAT_rf_fo_3600s,109047.046
2X,IncT2X_1,CPLEX22_1h,40179.544
2X,IncT2X_10,CPLEX22_1h,8335.23
2X,IncT2X_2,CPLEX22_1h,105100.906
2X,IncT2X_3,CPLEX22_1h,42938.57
2X,IncT2X_4,CPLEX22_1h,131571.0
2X,IncT2X_5,CPLEX22_1h,38183.994
2X,IncT2X_6,CPLEX22_1h,70335.169
2X,IncT2X_7,CPLEX22_1h,13506.887
2X,IncT2X_8,CPLEX22_1h,169018.311
2X,IncT2X_9,CPLEX22_1h,18632.113
3X,IncT3x_1,CPLEX22_3h,43424.391
3X,IncT3x_10,CPLEX22_3h,10914.378
3X,IncT3x_2,CPLEX22_1h,108645.892
3X,IncT3x_3,CPLEX22_1h,46154.492
3X,IncT3x_4,CPLEX22_1h,134477.501
3X,IncT3x_5,CPLEX22_1h,40735.322
3X,IncT3x_6,CPLEX22_1h,73458.775
3X,IncT3x_7,MAT_rf_mip_600s,16441.491
3X,IncT3x_8,CPLEX22_3h,171942.718
3X,IncT3x_9,CPLEX22_1h,21779.42
4X,IncT4x_1,CPLEX22_3h,46880.699
4X,IncT4x_10,CPLEX22_3h,13375.333
4X,IncT4x_2,CPLEX22_3h,111902.298
4X,IncT4x_3,CPLEX22_3h,49468.889
4X,IncT4x_4,CPLEX22_3h,137435.102
4X,IncT4x_5,CPLEX22_3h,43396.022
4X,IncT4x_6,CPLEX22_3h,76811.29
4X,IncT4x_7,MAT_rf_fo_600s,19282.326
4X,IncT4x_8,CPLEX22_1h,174700.915
4X,IncT4x_9,CPLEX22_3h,24689.228
5X,IncT5x_1,MAT_rf_fo_3600s,50351.243
5X,IncT5x_10,MAT_rf_fo_3600s,16115.811
5X,IncT5x_2,MAT_rf_mip_600s,116353.298
5X,IncT5x_3,CPLEX22_3h,53570.461
5X,IncT5x_4,CPLEX22_3h,141043.753
5X,IncT5x_5,CPLEX22_3h,46138.191
5X,IncT5x_6,CPLEX22_1h,80612.087
5X,IncT5x_7,CPLEX22_3h,22166.183
5X,IncT5x_8,CPLEX22_3h,177536.272
5X,IncT5x_9,MAT_rf_fo_600s,28381.253
8X,IncT8x_2,MAT_rf_mip_3600s,131246.445
8X,IncT8x_3,MAT_rf_mip_3600s,68783.65
8X,IncT8x_4,MAT_rf_mip_3600s,158113.714
8X,IncT8x_5,MAT_rf_mip_3600s,58152.349
8X,IncT8x_6,MAT_rf_fo_3600s,96576.714
Real,Ale_1,CPLEX22_1h,86264.683
Real order book,REAL_1,MAT_mip_3600s,11442.625
S,S_1,MAT_mip_3600s,36964.861
S,S_10,CPLEX22_1h,5639.568
S,S_2,CPLEX22_1h,99950.709
S,S_3,CPLEX22_1h,39695.173
S,S_4,CPLEX22_1h,127725.976
S,S_5,CPLEX22_1h,35426.141
S,S_6,CPLEX22_1h,66677.463
S,S_7,CPLEX22_1h,10568.618
S,S_8,CPLEX22_1h,160911.938
S,S_9,CPLEX22_1h,15627.917
Synthetic,synthetic_tiny,MAT_rf_fo_60s,248.049
