dataset,instance,base_pattern
Real order book,REAL_1,REAL_1
S,S_1,S_1
S,S_10,S_10
S,S_2,S_2
S,S_3,S_3
S,S_4,S_4
S,S_5,S_5
S,S_6,S_6
S,S_7,S_7
S,S_8,S_8
S,S_9,S_9
2X,IncT2X_1,S_1
2X,IncT2X_10,S_10
2X,IncT2X_2,S_2
2X,IncT2X_3,S_3
2X,IncT2X_4,S_4
2X,IncT2X_5,S_5
2X,IncT2X_6,S_6
2X,IncT2X_7,S_7
2X,IncT2X_8,S_8
2X,IncT2X_9,S_9
3X,IncT3x_1,S_1
3X,IncT3x_10,S_10
3X,IncT3x_2,S_2
3X,IncT3x_3,S_3
3X,IncT3x_4,S_4
3X,IncT3x_5,S_5
3X,IncT3x_6,S_6
3X,IncT3x_7,S_7
3X,IncT3x_8,S_8
3X,IncT3x_9,S_9
4X,IncT4x_1,S_1
4X,IncT4x_10,S_10
4X,IncT4x_2,S_2
4X,IncT4x_3,S_3
4X,IncT4x_4,S_4
4X,IncT4x_5,S_5
4X,IncT4x_6,S_6
4X,IncT4x_7,S_7
4X,IncT4x_8,S_8
4X,IncT4x_9,S_9
5X,IncT5x_1,S_1
5X,IncT5x_10,S_10
5X,IncT5x_2,S_2
5X,IncT5x_3,S_3
5X,IncT5x_4,S_4
5X,IncT5x_5,S_5
5X,IncT5x_6,S_6
5X,IncT5x_7,S_7
5X,IncT5x_8,S_8
5X,IncT5x_9,S_9
8X,IncT8x_2,S_2
8X,IncT8x_3,S_3
8X,IncT8x_4,S_4
8X,IncT8x_5,S_5
8X,IncT8x_6,S_6
10X,IncT10x_2,S_2
10X,IncT10x_3,S_3
10X,IncT10x_4,S_4
10X,IncT10x_5,S_5
10X,IncT10x_6,S_6
