dataset,instance,T,Z_gamma0,bound_gamma0,gap_gamma0_pct,status_gamma0,time_gamma0_s,Z_gamma0001,bound_gamma0001,gap_gamma0001_pct,status_gamma0001,time_gamma0001_s,delta_abs,delta_pct_vs_gamma0001
2X,IncT2X_1,38,34840.0,34840.0,0.0,OptimalGlobal,19.3269,40179.544,40179.544,0.0,OptimalGlobal,209.6151,5339.544000000002,13.289210051761666
2X,IncT2X_10,38,3231.0,3231.0,0.0,OptimalGlobal,5.3135,8335.23,8335.23,0.0,OptimalGlobal,173.104,5104.23,61.23682249919918
2X,IncT2X_2,38,99038.0,99038.0,0.0,OptimalGlobal,30.6196,105100.906,105100.906,0.0,OptimalGlobal,50.8178,6062.906000000003,5.768652460522085
2X,IncT2X_3,38,37376.0,37376.0,0.0,OptimalGlobal,8.558,42938.57,42938.57,0.0,OptimalGlobal,1261.6051,5562.57,12.954716470529876
2X,IncT2X_4,38,125559.0,125559.0,0.0,OptimalGlobal,9.5455,131571.0,131571.0,0.0,OptimalGlobal,59.5806,6012.0,4.5693959915178874
2X,IncT2X_5,38,33103.0,33103.0,0.0,OptimalGlobal,8.2476,38183.994,38183.994,0.0,OptimalGlobal,317.7187,5080.993999999999,13.30660695159338
2X,IncT2X_6,38,64582.0,64582.0,0.0,OptimalGlobal,8.5988,70335.169,70335.169,0.0,OptimalGlobal,436.6009,5753.168999999994,8.17964765251363
2X,IncT2X_7,38,8336.0,8336.0,0.0,OptimalGlobal,134.0936,13506.887,13506.887,0.0,OptimalGlobal,1730.3252,5170.887000000001,38.2833364934496
2X,IncT2X_8,38,162972.0,162972.0,0.0,OptimalGlobal,16.3217,169018.311,169018.311,0.0,OptimalGlobal,75.5205,6046.310999999987,3.57731121807269
2X,IncT2X_9,38,12968.0,12968.0,0.0,OptimalGlobal,7.9364,18632.113,18632.113,0.0,OptimalGlobal,2349.812,5664.113000000001,30.39973512397655
3X,IncT3x_1,57,34840.0,34840.0,0.0,OptimalGlobal,37.8426,43424.391,42979.18296,1.025249,Integer,10805.0957,8584.391000000003,19.76859272476614
3X,IncT3x_10,57,3231.0,3231.0,0.0,OptimalGlobal,10.6777,10914.378,10501.363105,3.784136,Integer,10907.7603,7683.378000000001,70.39684716802002
3X,IncT3x_2,57,99038.0,99038.0,0.0,OptimalGlobal,60.8299,108645.892,108415.298656,0.212243,Integer,10864.5355,9607.892000000007,8.843309050286049
3X,IncT3x_3,57,37376.0,37376.0,0.0,OptimalGlobal,19.3854,46154.492,45689.573082,1.00731,Integer,10827.5544,8778.491999999998,19.01979984960077
3X,IncT3x_4,57,125559.0,125559.0,0.0,OptimalGlobal,37.1083,134477.501,134218.018056,0.192956,Integer,10874.8819,8918.50099999999,6.631965149322629
