dataset,instance,shortage_gamma0,shortage_gamma001,delta_shortage,delta_shortage_pct,excess_gamma0,excess_gamma001,excess_reduction,excess_reduction_pct,both_proven_optimal
2X,IncT2X_1,34840.0,34852.0,12.0,0.03444316877152698,8167607.0,5327544.0,2840063.0,34.77227785323168,True
2X,IncT2X_10,3231.0,3231.0,0.0,0.0,8741480.0,5104230.0,3637250.0,41.60908679079515,True
2X,IncT2X_2,99038.0,99069.0,31.0,0.03130111674306832,6889575.0,6031906.0,857669.0,12.448794011241622,True
2X,IncT2X_3,37376.0,37376.0,0.0,0.0,7709420.0,5562570.0,2146850.0,27.847101338362677,True
2X,IncT2X_4,125559.0,125823.0,264.0,0.21025971853869496,8368211.0,5748000.0,2620211.0,31.311483422203384,True
2X,IncT2X_5,33103.0,33263.0,160.0,0.48333987856085553,8801109.0,4920994.0,3880115.0,44.08665998796288,True
2X,IncT2X_6,64582.0,64582.0,0.0,0.0,7660594.0,5753169.0,1907425.0,24.899178836523642,True
2X,IncT2X_7,8336.0,8498.0,162.0,1.9433781190019195,7857100.0,5008887.0,2848213.0,36.250181364625625,True
2X,IncT2X_8,162972.0,163982.0,1010.0,0.6197383599636748,7619551.0,5036311.0,2583240.0,33.90278508536789,True
2X,IncT2X_9,12968.0,13165.0,197.0,1.5191239975323874,8402916.0,5467113.0,2935803.0,34.93790726933364,True
2X,MEDIAN,36108.0,36114.0,95.5,0.12235144365511097,8012353.5,5397328.5,2730137.0,34.33753146929978,True
2X,AGGREGATE,582005.0,583841.0,1836.0,0.3154612073779435,80217563.0,53960724.0,26256839.0,32.73203275945942,True
