dataset,instance,shortage_gamma0,shortage_gamma001,delta_shortage,delta_shortage_pct,excess_gamma0,excess_gamma001,excess_reduction,excess_reduction_pct,both_proven_optimal
2X,IncT2X_1,34840.0,34852.0,12.0,0.03444316877152698,8167607.0,5327544.0,2840063.0,34.77227785323168,True
2X,IncT2X_10,3231.0,3231.0,0.0,0.0,8741480.0,5104230.0,3637250.0,41.60908679079515,True
2X,IncT2X_2,99038.0,99069.0,31.0,0.03130111674306832,6889575.0,6031906.0,857669.0,12.448794011241622,True
2X,IncT2X_3,37376.0,37376.0,0.0,0.0,7709420.0,5562570.0,2146850.0,27.847101338362677,True
2X,IncT2X_4,125559.0,125823.0,264.0,0.21025971853869496,8368211.0,5748000.0,2620211.0,31.311483422203384,True
2X,IncT2X_5,33103.0,33263.0,160.0,0.48333987856085553,8801109.0,4920994.0,3880115.0,44.08665998796288,True
2X,IncT2X_6,64582.0,64582.0,0.0,0.0,7660594.0,5753169.0,1907425.0,24.899178836523642,True
2X,IncT2X_7,8336.0,8498.0,162.0,1.9433781190019195,7857100.0,5008887.0,2848213.0,36.250181364625625,True
2X,IncT2X_8,162972.0,163982.0,1010.0,0.6197383599636748,7619551.0,5036311.0,2583240.0,33.90278508536789,True
2X,IncT2X_9,12968.0,13165.0,197.0,1.5191239975323874,8402916.0,5467113.0,2935803.0,34.93790726933364,True
3X,IncT3x_1,34840.0,34903.0,63.0,0.18082663605051666,17021928.0,8521391.0,8500537.0,49.938743719277866,False
3X,IncT3x_10,3231.0,3892.0,661.0,20.458062519343855,15714442.0,7022378.0,8692064.0,55.31258443666024,False
3X,IncT3x_2,99038.0,99074.0,36.0,0.036349683959692236,14246506.0,9571892.0,4674614.0,32.81235413090059,False
3X,IncT3x_3,37376.0,37376.0,0.0,0.0,16639692.0,8778492.0,7861200.0,47.243662923568536,False
3X,IncT3x_4,125559.0,125823.0,264.0,0.21025971853869496,14582312.0,8654501.0,5927811.0,40.65069379944689,False
3X,IncT3x_5,33103.0,33263.0,160.0,0.48333987856085553,17257337.0,7472322.0,9785015.0,56.70060797908739,False
3X,IncT3x_6,64582.0,64582.0,0.0,0.0,17037300.0,8876775.0,8160525.0,47.897994400521206,False
3X,IncT3x_7,8336.0,8353.0,17.0,0.20393474088291746,14265557.0,8238924.0,6026633.0,42.24604058572687,False
3X,IncT3x_8,162972.0,164087.0,1115.0,0.684166605306433,15572853.0,7855718.0,7717135.0,49.55504941836926,False
3X,IncT3x_9,12968.0,13148.0,180.0,1.3880320789636027,15505715.0,8631420.0,6874295.0,44.33394396840133,False
4X,IncT4x_1,34840.0,34840.0,0.0,0.0,27886799.0,12040699.0,15846100.0,56.8229433575363,False
4X,IncT4x_10,3231.0,3660.0,429.0,13.277623026926648,28595779.0,9715333.0,18880446.0,66.02528995625543,False
4X,IncT4x_2,99038.0,99074.0,36.0,0.036349683959692236,21680762.0,12828298.0,8852464.0,40.830963413555295,False
4X,IncT4x_3,37376.0,37376.0,0.0,0.0,22789314.0,12092889.0,10696425.0,46.93614296595325,False
4X,IncT4x_4,125559.0,125823.0,264.0,0.21025971853869496,27791113.0,11612102.0,16179011.0,58.21649172525044,False
4X,IncT4x_5,33103.0,33285.0,182.0,0.5497991118629731,30471390.0,10111022.0,20360368.0,66.81798237625523,False
4X,IncT4x_6,64582.0,64891.0,309.0,0.4784614908178749,27002931.0,11920290.0,15082641.0,55.85556990091187,False
4X,IncT4x_7,8336.0,8336.0,0.0,0.0,24600389.0,11423389.0,13177000.0,53.564193639377,False
4X,IncT4x_8,162972.0,164107.0,1135.0,0.696438652038387,22070905.0,10593915.0,11476990.0,52.00054098370683,False
4X,IncT4x_9,12968.0,13182.0,214.0,1.650215916101172,25895389.0,11507228.0,14388161.0,55.56263703935863,False
5X,IncT5x_1,34840.0,35263.0,423.0,1.214121699196326,41978595.0,15268718.0,26709877.0,63.62737247399538,False
5X,IncT5x_10,3231.0,4380.0,1149.0,35.56174558960074,47666091.0,12584090.0,35082001.0,73.59949235191114,False
5X,IncT5x_2,99038.0,99294.0,256.0,0.2584866414911448,33569568.0,17446099.0,16123469.0,48.0300163529063,False
5X,IncT5x_3,37376.0,37376.0,0.0,0.0,37234311.0,16194461.0,21039850.0,56.506618317712395,False
5X,IncT5x_4,125559.0,125823.0,264.0,0.21025971853869496,32580514.0,15220753.0,17359761.0,53.28264925470482,False
5X,IncT5x_5,33103.0,33351.0,248.0,0.749176811769326,32356743.0,12787191.0,19569552.0,60.48059905164126,False
5X,IncT5x_6,64582.0,64891.0,309.0,0.4784614908178749,41717187.0,15791046.0,25926141.0,62.14738544092151,False
5X,IncT5x_7,8336.0,8498.0,162.0,1.9433781190019195,37715146.0,13668183.0,24046963.0,63.759432351130236,False
5X,IncT5x_8,162972.0,164087.0,1115.0,0.684166605306433,34999032.0,13449272.0,21549760.0,61.57244577507172,False
5X,IncT5x_9,12968.0,13201.0,233.0,1.7967304133251079,33284663.0,15452896.0,17831767.0,53.57352423847584,False
