method,dataset,instance,n_runs,Z_at_cutoff,Z_mean_at_cutoff,Z_std_at_cutoff,Z_worst_at_cutoff,Z_best_untruncated,Z_best_with_cross_pr,postbudget_gain_pct,cross_pr_gain_pct,total_noncompliant_gain_pct,selected_run_id,selected_time_s,selected_source_path,schedule_available,schedule_validated,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,cutoff_s,summary_source_path
ILS_v2,2X,IncT2X_1,10,42278.155,43834.2662,1016.6308028480697,45425.166,42278.155,42131.48,0.0,0.3469285733968184,0.3469285733968184,1,3055.493,experiments/GRASP/results_ils_v2/IncT2X_1_run01.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_1_summary.json
ILS_v2,2X,IncT2X_10,10,8862.78,10203.8462,693.6338048336133,11240.278,8862.78,8845.78,0.0,0.19181340392066595,0.19181340392066595,5,3337.298,experiments/GRASP/results_ils_v2/IncT2X_10_run05.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_10_summary.json
ILS_v2,2X,IncT2X_2,10,106776.062,109959.4436,2425.497369270852,113791.744,106776.062,106455.967,0.0,0.299781612099537,0.299781612099537,4,3189.018,experiments/GRASP/results_ils_v2/IncT2X_2_run04.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_2_summary.json
ILS_v2,2X,IncT2X_3,10,45168.086,48130.82030000001,1506.5010764251817,49796.458,45168.086,44988.661,0.0,0.397238439547788,0.397238439547788,9,2051.557,experiments/GRASP/results_ils_v2/IncT2X_3_run09.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_3_summary.json
ILS_v2,2X,IncT2X_4,10,133316.912,135572.94629999998,2282.8220244068275,140517.153,133316.912,132911.883,0.0,0.3038091671370317,0.3038091671370317,5,2233.682,experiments/GRASP/results_ils_v2/IncT2X_4_run05.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_4_summary.json
ILS_v2,2X,IncT2X_5,10,38391.644,41638.9287,4046.3178480121082,51260.256,38391.644,38391.069,0.0,0.0014977217438177162,0.0014977217438177162,4,3260.066,experiments/GRASP/results_ils_v2/IncT2X_5_run04.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_5_summary.json
ILS_v2,2X,IncT2X_6,10,71405.102,74496.7347,2331.688520859129,78941.952,71405.102,71354.141,0.0,0.07136884980571233,0.07136884980571233,6,3381.141,experiments/GRASP/results_ils_v2/IncT2X_6_run06.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_6_summary.json
ILS_v2,2X,IncT2X_7,10,13964.65,14744.448999999999,882.8348388381855,16693.413,13964.65,13887.95,0.0,0.5492439839165243,0.5492439839165243,1,3521.599,experiments/GRASP/results_ils_v2/IncT2X_7_run01.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_7_summary.json
ILS_v2,2X,IncT2X_8,10,170021.061,174903.1128,3262.936404413866,179712.419,170021.061,169602.936,0.0,0.24592541508725207,0.24592541508725207,9,2106.266,experiments/GRASP/results_ils_v2/IncT2X_8_run09.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_8_summary.json
ILS_v2,2X,IncT2X_9,10,19182.946,20566.6611,730.3149234871897,21826.442,19182.946,19099.846,0.0,0.4331972784576391,0.4331972784576391,2,2083.525,experiments/GRASP/results_ils_v2/IncT2X_9_run02.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT2X_9_summary.json
ILS_v2,3X,IncT3x_1,10,46421.26,49102.6273,2968.119093188481,55525.366,46421.26,46301.96,0.0,0.25699431682811474,0.25699431682811474,7,3589.723,experiments/GRASP/results_ils_v2/IncT3x_1_run07.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT3x_1_summary.json
ILS_v2,3X,IncT3x_10,10,13044.383,15476.142100000001,1344.3665578350312,17053.671,13044.383,12905.258,0.0,1.0665510204660504,1.0665510204660504,7,3269.335,experiments/GRASP/results_ils_v2/IncT3x_10_run07.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT3x_10_summary.json
ILS_v2,3X,IncT3x_2,10,112927.942,121108.5019,5517.217774920988,131272.104,112927.942,112567.555,0.0,0.31913005197597816,0.31913005197597816,7,2940.458,experiments/GRASP/results_ils_v2/IncT3x_2_run07.json,True,True,False,True,True,3600.0,experiments/GRASP/results_ils_v2/IncT3x_2_summary.json
