method,dataset,instance,n_runs,Z_at_cutoff,Z_mean_at_cutoff,Z_std_at_cutoff,Z_worst_at_cutoff,Z_best_untruncated,Z_best_with_cross_pr,postbudget_gain_pct,cross_pr_gain_pct,total_noncompliant_gain_pct,selected_run_id,selected_time_s,selected_source_path,schedule_available,schedule_validated,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,cutoff_s,summary_source_path
ILS_v2,2X,IncT2X_1,10,43176.912,46408.24,2134.656439899873,50225.354,42278.155,42131.48,2.081568501239732,0.3469285733968184,2.4212755187309214,2,225.195,experiments/GRASP/results_ils_v2/IncT2X_1_run02.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_1_summary.json
ILS_v2,2X,IncT2X_10,10,11568.743,12656.018399999999,538.958934592774,13348.745,8862.78,8845.78,23.390294001690588,0.19181340392066595,23.53724168649956,10,497.035,experiments/GRASP/results_ils_v2/IncT2X_10_run10.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_10_summary.json
ILS_v2,2X,IncT2X_2,10,110717.709,119489.2615,4674.220250905319,126113.225,106776.062,106455.967,3.56008721242597,0.299781612099537,3.849196337687947,4,151.78,experiments/GRASP/results_ils_v2/IncT2X_2_run04.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_2_summary.json
ILS_v2,2X,IncT2X_3,10,47893.987,50443.566999999995,1616.5616134394622,53109.559,45168.086,44988.661,5.691530755207324,0.397238439547788,6.066160246796745,9,8.135,experiments/GRASP/results_ils_v2/IncT2X_3_run09.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_3_summary.json
ILS_v2,2X,IncT2X_4,10,137355.84,141903.07079999996,2558.0660348434144,145656.428,133316.912,132911.883,2.940485093316735,0.3038091671370317,3.235360797181973,4,196.01,experiments/GRASP/results_ils_v2/IncT2X_4_run04.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_4_summary.json
ILS_v2,2X,IncT2X_5,10,40466.208,44372.0828,4731.222365593293,52185.923,38391.644,38391.069,5.126657778262788,0.0014977217438177162,5.1280787169383295,9,118.294,experiments/GRASP/results_ils_v2/IncT2X_5_run09.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_5_summary.json
ILS_v2,2X,IncT2X_6,10,75739.559,79630.8224,2276.5736232158783,82439.006,71405.102,71354.141,5.722844253687819,0.07136884980571233,5.790128775373502,9,523.809,experiments/GRASP/results_ils_v2/IncT2X_6_run09.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_6_summary.json
ILS_v2,2X,IncT2X_7,10,14223.675,16528.0596,995.7233018580794,17480.762,13964.65,13887.95,1.8210835104148517,0.5492439839165243,2.3603253027083264,4,73.457,experiments/GRASP/results_ils_v2/IncT2X_7_run04.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_7_summary.json
ILS_v2,2X,IncT2X_8,10,173189.523,180356.4997,4785.179702898525,186120.39,170021.061,169602.936,1.82947671724923,0.24592541508725207,2.070902984125662,7,73.69,experiments/GRASP/results_ils_v2/IncT2X_8_run07.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_8_summary.json
ILS_v2,2X,IncT2X_9,10,21615.691,22698.8243,707.5881719647775,23621.18,19182.946,19099.846,11.25453264482731,0.4331972784576391,11.638975594164434,10,291.445,experiments/GRASP/results_ils_v2/IncT2X_9_run10.json,False,False,False,True,True,600.0,experiments/GRASP/results_ils_v2/IncT2X_9_summary.json
