method,dataset,instance,run_id,seed,Z_at_cutoff,selected_time_s,selected_tag,final_objective,time_to_best_s,total_time_s,overrun_s,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,T_json,J_json,I_json,iterations,source_path,paper_note
ILS_v2,S,S_10,1,1,7598.902,560.469,GRASP_warmup,6373.493,784.217,3600.775,3000.775,False,True,True,19,160,50,2258,experiments/GRASP/results_ils_v2/Ale_10_run01.json,
ILS_v2,S,S_10,2,2,7124.907,21.028,GRASP_warmup,6201.172,1920.258,3601.945,3001.945,False,True,True,19,160,50,2219,experiments/GRASP/results_ils_v2/Ale_10_run02.json,
ILS_v2,S,S_10,3,3,6957.354,23.986,GRASP_warmup,6303.447,722.564,3600.686,3000.686,False,True,True,19,160,50,2192,experiments/GRASP/results_ils_v2/Ale_10_run03.json,
ILS_v2,S,S_10,4,4,6983.945,161.631,GRASP_warmup,6651.595,724.957,3600.025,3000.025,False,True,True,19,160,50,2160,experiments/GRASP/results_ils_v2/Ale_10_run04.json,
ILS_v2,S,S_10,5,5,8293.86,480.649,GRASP_warmup,6251.242,1248.097,3601.343,3001.343,False,True,True,19,160,50,2209,experiments/GRASP/results_ils_v2/Ale_10_run05.json,
ILS_v2,S,S_10,6,6,6666.268,488.416,GRASP_warmup,6372.543,723.647,3601.793,3001.793,False,True,True,19,160,50,2305,experiments/GRASP/results_ils_v2/Ale_10_run06.json,
ILS_v2,S,S_10,7,7,7382.152,358.125,GRASP_warmup,6758.003,3144.183,3600.859,3000.859,False,True,True,19,160,50,2191,experiments/GRASP/results_ils_v2/Ale_10_run07.json,
ILS_v2,S,S_10,8,8,6915.69,311.447,GRASP_warmup,6909.415,721.163,3601.049,3001.049,False,True,True,19,160,50,2183,experiments/GRASP/results_ils_v2/Ale_10_run08.json,
ILS_v2,S,S_10,9,9,6819.309,266.752,GRASP_warmup,6063.274,804.276,3600.336,3000.336,False,True,True,19,160,50,2208,experiments/GRASP/results_ils_v2/Ale_10_run09.json,
ILS_v2,S,S_10,10,10,6957.368,104.123,GRASP_warmup,6229.26,956.751,3600.474,3000.474,False,True,True,19,160,50,2255,experiments/GRASP/results_ils_v2/Ale_10_run10.json,
ILS_v2,Real,Ale_1,1,1,92192.986,502.547,GRASP_warmup,90244.983,2706.753,3602.993,3002.993,False,True,True,25,161,50,1120,experiments/GRASP/results_ils_v2/Ale_1_run01.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,2,2,90758.121,324.28,GRASP_warmup,88054.386,818.5,3600.58,3000.58,False,True,True,25,161,50,1130,experiments/GRASP/results_ils_v2/Ale_1_run02.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,3,3,92240.768,185.995,GRASP_warmup,87509.733,1510.295,3600.071,3000.071,False,True,True,25,161,50,1132,experiments/GRASP/results_ils_v2/Ale_1_run03.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,4,4,89327.058,366.691,GRASP_warmup,86324.908,2693.131,3601.135,3001.135,False,True,True,25,161,50,1102,experiments/GRASP/results_ils_v2/Ale_1_run04.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,5,5,92950.923,40.288,GRASP_warmup,86418.508,1336.97,3602.504,3002.504,False,True,True,25,161,50,1109,experiments/GRASP/results_ils_v2/Ale_1_run05.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,6,6,93351.453,234.43,GRASP_warmup,87333.133,3364.324,3601.21,3001.21,False,True,True,25,161,50,1152,experiments/GRASP/results_ils_v2/Ale_1_run06.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,7,7,96776.883,27.018,GRASP_warmup,90601.108,981.294,3600.382,3000.382,False,True,True,25,161,50,1113,experiments/GRASP/results_ils_v2/Ale_1_run07.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,8,8,94714.547,553.421,GRASP_warmup,87530.108,2926.338,3602.846,3002.846,False,True,True,25,161,50,1115,experiments/GRASP/results_ils_v2/Ale_1_run08.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,9,9,92737.563,427.458,GRASP_warmup,90967.363,1107.232,3601.443,3001.443,False,True,True,25,161,50,1155,experiments/GRASP/results_ils_v2/Ale_1_run09.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,Real,Ale_1,10,10,95818.943,55.694,GRASP_warmup,91044.287,778.987,3600.455,3000.455,False,True,True,25,161,50,1148,experiments/GRASP/results_ils_v2/Ale_1_run10.json,Legacy Ale_1 is retained for provenance outside the benchmark.
ILS_v2,S,S_2,1,1,101562.896,178.287,GRASP_warmup,101562.896,178.287,3600.235,3000.235,False,True,True,19,160,50,2568,experiments/GRASP/results_ils_v2/Ale_2_run01.json,
ILS_v2,S,S_2,2,2,101661.864,1.1,GRASP_warmup,100900.835,723.743,3601.124,3001.124,False,True,True,19,160,50,2542,experiments/GRASP/results_ils_v2/Ale_2_run02.json,
ILS_v2,S,S_2,3,3,101384.53,21.629,GRASP_warmup,100933.53,739.509,3600.145,3000.145,False,True,True,19,160,50,2594,experiments/GRASP/results_ils_v2/Ale_2_run03.json,
ILS_v2,S,S_2,4,4,100835.185,18.265,GRASP_warmup,100835.185,18.265,3600.559,3000.559,False,True,True,19,160,50,2621,experiments/GRASP/results_ils_v2/Ale_2_run04.json,
ILS_v2,S,S_2,5,5,103547.277,280.266,GRASP_warmup,101562.896,729.209,3601.542,3001.542,False,True,True,19,160,50,2591,experiments/GRASP/results_ils_v2/Ale_2_run05.json,
ILS_v2,S,S_2,6,6,100051.409,86.892,GRASP_warmup,100051.409,86.892,3600.398,3000.398,False,True,True,19,160,50,2603,experiments/GRASP/results_ils_v2/Ale_2_run06.json,
ILS_v2,S,S_2,7,7,101792.281,265.191,GRASP_warmup,101712.037,773.763,3600.436,3000.436,False,True,True,19,160,50,2552,experiments/GRASP/results_ils_v2/Ale_2_run07.json,
ILS_v2,S,S_2,8,8,102907.496,315.698,GRASP_warmup,101562.896,722.409,3600.575,3000.575,False,True,True,19,160,50,2595,experiments/GRASP/results_ils_v2/Ale_2_run08.json,
ILS_v2,S,S_2,9,9,102435.75,161.397,GRASP_warmup,101993.548,881.116,3600.546,3000.546,False,True,True,19,160,50,2613,experiments/GRASP/results_ils_v2/Ale_2_run09.json,
