method,dataset,instance,n_runs,Z_best,Z_mean,Z_std,Z_worst,t2b_mean,total_time_mean,time_budget_s,bound,gap_solver_pct,model_status,T,J,I,source_path,raw_method
CPLEX22_1h,2X,IncT2X_1,1.0,40179.544,40179.544,0.0,40179.544,,219.9631,3600.0,40179.544,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_10,1.0,8335.23,8335.23,0.0,8335.23,,184.1404,3600.0,8335.23,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_2,1.0,105100.906,105100.906,0.0,105100.906,,55.3041,3600.0,105100.906,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_3,1.0,42938.57,42938.57,0.0,42938.57,,1313.137,3600.0,42938.57,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_4,1.0,131571.0,131571.0,0.0,131571.0,,64.9986,3600.0,131571.0,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_5,1.0,38183.994,38183.994,0.0,38183.994,,337.8791,3600.0,38183.994,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_6,1.0,70335.169,70335.169,0.0,70335.169,,455.5469,3600.0,70335.169,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_7,1.0,13506.887,13506.887,0.0,13506.887,,1757.0309,3600.0,13506.887,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_8,1.0,169018.311,169018.311,0.0,169018.311,,82.6851,3600.0,169018.311,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,2X,IncT2X_9,1.0,18632.113,18632.113,0.0,18632.113,,2395.7186,3600.0,18632.113,0.0,OptimalGlobal,38.0,159.0,50.0,,
CPLEX22_1h,3X,IncT3x_1,1.0,43446.121,43446.121,0.0,43446.121,,3601.9649,3600.0,42904.315727,1.247074,Integer,57.0,159.0,50.0,,
