dataset,instance,mip,rf+fo,rf+mip,source_cell
10X,IncT10x_2,185344.308,142834.183,154797.48,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
10X,IncT10x_3,102753.138,88476.214,87275.452,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
10X,IncT10x_4,185779.606,172982.609,376198.08,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
10X,IncT10x_5,68914.12,83018.375,87036.326,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
10X,IncT10x_6,130545.565,109047.046,187103.043,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
2X,IncT2X_1,40179.544,40395.882,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_10,8335.23,8402.793,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_2,105100.906,105211.081,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_3,42938.57,42940.295,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_4,131571.0,132100.436,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_5,38183.994,38265.119,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_6,70335.169,70572.794,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_7,13506.887,13618.675,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_8,169018.311,169724.484,,registered/production: CPLEX22_1h and Grade A rf+fo
2X,IncT2X_9,18632.113,18794.183,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_1,43446.121,44071.776,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_10,10937.023,11392.717,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_2,108645.892,108784.587,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_3,46154.492,46177.467,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_4,134477.501,135703.95,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_5,40735.322,41043.244,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_6,73458.775,74043.145,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_7,16586.707,16517.632,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_8,171950.123,174281.637,,registered/production: CPLEX22_1h and Grade A rf+fo
3X,IncT3x_9,21779.42,21782.345,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_1,47060.324,47116.022,,registered/production: CPLEX22_1h and Grade A rf+fo
4X,IncT4x_10,13436.508,14442.92,,registered/production: CPLEX22_1h and Grade A rf+fo
