dataset,budget_s,source_cell
10X,600,production Grade B @600s
10X,3600,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
10X,10800,post-hoc: cold MIP from results_scale_8x10x_mip10800 only; decompositions not run @10800s
2X,600,production Grade B @600s
2X,3600,registered/production: CPLEX22_1h and Grade A rf+fo
2X,10800,registered CPLEX22_3h where available
3X,600,production Grade B @600s
3X,3600,registered/production: CPLEX22_1h and Grade A rf+fo
3X,10800,registered CPLEX22_3h where available
4X,600,production Grade B @600s
4X,3600,registered/production: CPLEX22_1h and Grade A rf+fo
4X,10800,registered CPLEX22_3h where available
5X,600,production Grade B @600s
5X,3600,registered/production: CPLEX22_1h and Grade A rf+fo
5X,10800,registered CPLEX22_3h where available
8X,600,production Grade B @600s
8X,3600,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2
8X,10800,post-hoc: cold MIP from results_scale_8x10x_mip10800 only; decompositions not run @10800s
S,600,production Grade B @600s
S,3600,reconstructed S_1 supplement: mip/rf+fo from results_production/s1; registered/production: CPLEX22_1h and Grade A rf+fo
S,10800,registered CPLEX22_3h where available
