comparison,budget_s,scope,dataset,n_instances,median_delta_pct,iqr_low_pct,iqr_high_pct,wins,ties,losses
rf+fo vs mip,600,S-10X benchmark,S,10,0.014135045712743741,0.0,0.04475438863382194,0,5,5
rf+fo vs mip,600,S-10X benchmark,2X,10,0.41010212083175585,0.24380525641265793,0.5213520234569446,0,0,10
rf+fo vs mip,600,S-10X benchmark,3X,10,0.6845293044938392,0.10904914618555608,2.5810361305040197,2,0,8
rf+fo vs mip,600,S-10X benchmark,4X,10,0.5223580658246001,-0.43576677633299693,3.0863711969087015,5,0,5
rf+fo vs mip,600,S-10X benchmark,5X,10,1.1085031411839465,-1.0355023298838169,3.145938202189816,3,0,7
rf+fo vs mip,600,S-10X benchmark,8X,5,-4.0973662919917695,-7.030603229586017,-4.092765143234289,4,0,1
rf+fo vs mip,600,S-10X benchmark,10X,5,-37.83264884240597,-38.11486574245734,-34.20327340130947,4,0,1
rf+fo vs mip,3600,10X scale subset,10X,5,-13.894392208245746,-16.468210926966382,-6.888267918923245,4,0,1
rf+fo vs mip,3600,8X scale subset,8X,5,1.2172222159086994,-3.060922238056722,2.618533855689825,2,0,3
rf+fo vs mip,3600,8X/10X heterogeneous family aggregate,8X,5,1.2172222159086994,-3.060922238056722,2.618533855689825,2,0,3
rf+fo vs mip,3600,8X/10X heterogeneous family aggregate,10X,5,-13.894392208245746,-16.468210926966382,-6.888267918923245,4,0,1
rf+fo vs truncated ILS v2,600,3X-5X short-budget subset,3X,2,-19.211409045073243,-23.706654677354834,-14.716163412791648,2,0,0
rf+fo vs truncated ILS v2,600,3X-5X short-budget subset,4X,2,-20.42461208804943,-21.77771457393657,-19.07150960216229,2,0,0
rf+fo vs truncated ILS v2,600,3X-5X short-budget subset,5X,2,-16.919493445792256,-22.9525758770969,-10.88641101448761,2,0,0
rf+mip vs mip,600,S-10X benchmark,S,10,0.0,0.0,0.0,0,10,0
rf+mip vs mip,600,S-10X benchmark,2X,10,0.0,0.0,0.0,2,8,0
rf+mip vs mip,600,S-10X benchmark,3X,10,-0.004933396467605685,-0.1118114048447636,0.02910301707932614,5,0,5
rf+mip vs mip,600,S-10X benchmark,4X,10,0.35729869804605835,-1.2199219294397394,0.632529045193824,4,0,6
rf+mip vs mip,600,S-10X benchmark,5X,10,0.2622529319795811,-0.3996642606910514,4.360926786147891,3,0,7
rf+mip vs mip,600,S-10X benchmark,8X,5,-5.9967000162034125,-9.593023265627547,3.283227097092159,3,0,2
rf+mip vs mip,600,S-10X benchmark,10X,5,7.7142680022434735,2.8629194265714317,29.98976331037344,1,0,4
rf+mip vs mip,3600,10X scale subset,10X,5,26.29679665067189,-15.062981336881409,43.32393674193375,2,0,3
rf+mip vs mip,3600,8X scale subset,8X,5,-2.9571297604009046,-3.293859859978856,-0.44980386145987383,4,0,1
rf+mip vs mip,3600,8X/10X heterogeneous family aggregate,8X,5,-2.9571297604009046,-3.293859859978856,-0.44980386145987383,4,0,1
rf+mip vs mip,3600,8X/10X heterogeneous family aggregate,10X,5,26.29679665067189,-15.062981336881409,43.32393674193375,2,0,3
