dataset,budget_s,winner,n,source_cell,mip,rf+mip,rf+fo
Real,600,mip,10,production Grade B @600s,10,0,0
Real,3600,mip,10,registered/production: CPLEX22_1h and Grade A rf+fo,10,0,0
Real,10800,mip,10,registered CPLEX22_3h where available,10,0,0
2X,600,mip,10,production Grade B @600s,8,2,0
2X,3600,mip,10,registered/production: CPLEX22_1h and Grade A rf+fo,10,0,0
2X,10800,mip,10,registered CPLEX22_3h where available,10,0,0
3X,600,mip,10,production Grade B @600s,5,4,1
3X,3600,mip,10,registered/production: CPLEX22_1h and Grade A rf+fo,9,0,1
3X,10800,mip,10,registered CPLEX22_3h where available,10,0,0
4X,600,mip,10,production Grade B @600s,5,3,2
4X,3600,mip,10,registered/production: CPLEX22_1h and Grade A rf+fo,9,0,1
4X,10800,mip,10,registered CPLEX22_3h where available,10,0,0
5X,600,mip,10,production Grade B @600s,6,2,2
5X,3600,mip,10,registered/production: CPLEX22_1h and Grade A rf+fo,6,0,4
5X,10800,mip,10,registered CPLEX22_3h where available,10,0,0
8X,600,rf+mip,5,production Grade B @600s,1,3,1
8X,3600,rf+mip,5,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2,1,3,1
8X,10800,no data,0,registered CPLEX22_3h where available,0,0,0
10X,600,rf+fo,5,production Grade B @600s,1,0,4
10X,3600,rf+fo,5,post-hoc: MIP from results_scale_8x10x; rf+fo/rf+mip from results_scale_8x10x_v2,1,1,3
10X,10800,no data,0,registered CPLEX22_3h where available,0,0,0
