dataset,instance,mip,source_mip,rf+fo,rf+mip,source_rf+fo,source_rf+mip
10X,IncT10x_2,185344.308,experiments/matheuristics/results_scale_8x10x (registered cold MIP),142834.183,154797.48,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_2_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_2_rf_mip_seed1_b3600.json
10X,IncT10x_3,102753.138,experiments/matheuristics/results_scale_8x10x (registered cold MIP),88476.214,87275.452,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_3_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_3_rf_mip_seed1_b3600.json
10X,IncT10x_4,185779.606,experiments/matheuristics/results_scale_8x10x (registered cold MIP),172982.609,376198.08,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_4_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_4_rf_mip_seed1_b3600.json
10X,IncT10x_5,68914.12,experiments/matheuristics/results_scale_8x10x (registered cold MIP),83018.375,87036.326,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_5_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_5_rf_mip_seed1_b3600.json
10X,IncT10x_6,130545.565,experiments/matheuristics/results_scale_8x10x (registered cold MIP),109047.046,187103.043,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_6_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_6_rf_mip_seed1_b3600.json
8X,IncT8x_2,131839.464,experiments/matheuristics/results_scale_8x10x (registered cold MIP),135291.725,131246.445,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_2_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_2_rf_mip_seed1_b3600.json
8X,IncT8x_3,71839.478,experiments/matheuristics/results_scale_8x10x (registered cold MIP),77987.822,71896.386,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_3_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_3_rf_mip_seed1_b3600.json
8X,IncT8x_4,166073.216,experiments/matheuristics/results_scale_8x10x (registered cold MIP),160989.844,160602.997,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_4_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_4_rf_mip_seed1_b3600.json
8X,IncT8x_5,59924.391,experiments/matheuristics/results_scale_8x10x (registered cold MIP),60653.804,58152.349,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_5_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_5_rf_mip_seed1_b3600.json
8X,IncT8x_6,103833.803,experiments/matheuristics/results_scale_8x10x (registered cold MIP),97667.582,99419.134,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_6_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_6_rf_mip_seed1_b3600.json
