dataset,instance,method,construction_used,construction_Z,rf_wall_time_s,improvement_time_left_s,Z_final
10X,IncT10x_2,rf+fo,greedy_floor,64949157.152,843.387,2756.6130000000003,142834.183
10X,IncT10x_2,rf+mip,greedy_floor,64949157.152,843.396,2756.6040000000003,154797.48
10X,IncT10x_3,rf+fo,greedy_floor,50914291.231,797.53,2802.4700000000003,88476.214
10X,IncT10x_3,rf+mip,greedy_floor,50914291.231,803.583,2796.417,87275.452
10X,IncT10x_4,rf+fo,greedy_floor,53481810.021,796.912,2803.0879999999997,172982.609
10X,IncT10x_4,rf+mip,greedy_floor,62714040.95,843.858,2756.142,376198.08
10X,IncT10x_5,rf+fo,greedy_floor,52350388.486,798.174,2801.826,83018.375
10X,IncT10x_5,rf+mip,greedy_floor,43510609.027,799.246,2800.754,87036.326
10X,IncT10x_6,rf+fo,greedy_floor,53309346.263,797.983,2802.017,109047.046
10X,IncT10x_6,rf+mip,greedy_floor,63132592.91,844.547,2755.453,187103.043
8X,IncT8x_2,rf+fo,greedy_floor,59130387.07,841.411,2758.589,135291.725
8X,IncT8x_2,rf+mip,greedy_floor,58659668.175,855.586,2744.4139999999998,131246.445
8X,IncT8x_3,rf+fo,greedy_floor,63327814.323,839.401,2760.599,77987.822
8X,IncT8x_3,rf+mip,greedy_floor,63327814.323,839.753,2760.247,71896.386
8X,IncT8x_4,rf+fo,greedy_floor,60599633.954,840.14,2759.86,160989.844
8X,IncT8x_4,rf+mip,greedy_floor,60599633.954,836.748,2763.252,160602.997
8X,IncT8x_5,rf+fo,greedy_floor,59149435.356,836.317,2763.683,60653.804
8X,IncT8x_5,rf+mip,greedy_floor,59725672.856,840.251,2759.749,58152.349
8X,IncT8x_6,rf+fo,greedy_floor,53156195.929,861.063,2738.937,97667.582
8X,IncT8x_6,rf+mip,greedy_floor,57467501.049,862.821,2737.179,99419.134
