private_label,public_code
EK8R_12_16,P01
EK8R_08_20,P02
EK8RM_28_48,P03
EK8R_10_20,P04
EK8RM_18_30,P05
EK8RM_8_12,P06
EK8A_FFF,P07
EK8RM_28_F,P08
EK8RM_12_16,P09
EK8A_16,P10
EK8R_70_F,P11
EK8RM_48_F,P12
EK8R_4_10,P13
EK8R_60_F,P14
EK8R_6_10CN,P15
EK8RM_12_30,P16
EK8A_120,P17
EK8RM_30_50,P18
EK8R_6_10C,P19
EK8RM_6_8,P20
EK8R_3_6,P21
EK8R_40_F,P22
EK8A_30,P23
EK8R_20_40,P24
EK8RM_4_6,P25
EK8A_24,P26
EK8A_220,P27
EK8R_6_10N,P28
EK8R_6_10,P29
EK8R_10_36,P30
EK8A_20,P31
EK8A_46,P32
EK8R_35_70,P33
EK8A_54,P34
EK8A_80,P35
EK8R_70_140,P36
EK8R_070_325,P37
EK8RM_8_20,P38
EK8RM_50_F,P39
EK8R_3_5_7,P40
EK8A_100,P41
EK8A_180,P42
EK8R_18_F,P43
EK8RM_05_16_4,P44
EK8R_30_50,P45
EK8RM_01_4_4,P46
EK8R_16_F,P47
EK8A_36,P48
EK8A_60,P49
EK8A_150,P50
