dataset,instance,Z_best,Z_mean,Z_std,Z_worst,gap_best_vs_mip,gap_mean_vs_mip,mip_bound,n_runs,t2best_best,t2best_mean,ils_iters_mean
Real,Ale_1,100569.996,117053.0058,8694.612908,131077.052,16.583,35.6905,86264.683,10,781.854,1132.925,6308.8
Real,Ale_2,105702.766,110707.1248,3531.002261,117292.491,5.7549,10.7617,99950.709,10,459.914,590.692,10624.7
Real,Ale_3,44119.473,49389.5665,3192.682735,54714.339,11.1457,24.4221,39695.173,10,430.163,618.323,10796.8
Real,Ale_4,128457.26,135266.2886,3448.071731,139242.876,0.5725,5.9035,127725.976,10,590.278,850.03,6236.6
Real,Ale_5,48181.896,54122.2109,4156.658578,59437.147,36.0066,52.7748,35426.141,10,554.938,852.029,6011.3
Real,Ale_6,69353.482,77477.3034,4852.25518,84719.936,4.0134,16.1971,66677.463,10,585.717,821.766,5704.6
Real,Ale_7,17718.183,21053.9043,2032.51182,24363.205,67.649,99.2115,10568.618,10,465.55,784.202,5831.6
Real,Ale_8,164214.724,175873.0897,7191.743467,185688.756,2.0525,9.2977,160911.938,10,518.643,892.388,6068.1
Real,Ale_9,16732.347,19454.6757,1946.537596,22349.793,7.067,24.4867,15627.917,10,458.598,840.919,5894.9
Real,Ale_10,7142.758,10712.7464,2396.87953,14168.789,26.6543,89.9569,5639.568,10,566.335,926.642,6003.8
2X,IncT2X_1,42947.365,61573.7628,9193.046673,76266.948,6.8886,53.2465,40179.544,10,1646.041,1728.579,1638.3
2X,IncT2X_2,129019.883,148673.5512,15641.089428,173637.315,,,,10,1550.967,1656.522,1628.2
2X,IncT2X_3,57043.268,66360.3905,6187.770206,78161.852,32.8486,54.5473,42938.57,10,1507.364,1650.908,1587.4
2X,IncT2X_4,149599.913,169204.5258,10908.74746,186382.841,13.7028,28.6032,131571.0,10,1264.163,1568.253,1705.4
2X,IncT2X_5,55518.02,65949.6484,7672.948187,81660.452,45.3961,72.7154,38183.994,10,1421.675,1653.86,1650.6
2X,IncT2X_6,89110.389,102875.2539,9425.516259,119575.182,26.6939,46.2643,70335.169,10,1364.377,1687.718,1611.0
2X,IncT2X_7,23541.667,32887.5849,7587.840012,50036.416,74.2938,143.4875,13506.887,10,1362.748,1684.487,1578.2
2X,IncT2X_8,189973.51,210506.1203,13417.138149,236270.507,12.3982,24.5463,169018.311,10,1195.426,1622.277,1668.9
2X,IncT2X_9,29395.683,34747.2016,3031.464952,40602.54,57.7689,86.4909,18632.113,10,1523.136,1697.485,1454.4
2X,IncT2X_10,12488.328,20870.9084,6350.954356,30956.356,49.8258,150.3939,8335.23,10,1278.832,1673.669,1488.8
3X,IncT3x_1,87794.096,102627.0548,8455.838595,118528.715,104.2712,138.7832,42979.183,10,1243.253,1606.05,691.3
3X,IncT3x_2,170888.982,206372.1905,18500.791927,228055.401,57.6244,90.3534,108415.299,10,1478.685,1678.235,700.4
3X,IncT3x_3,81940.47,93313.2213,5758.170771,99985.803,79.3417,104.2331,45689.573,10,1509.546,1735.757,727.4
3X,IncT3x_4,167578.477,195807.6638,18963.296327,224820.836,24.8554,45.8878,134218.018,10,1569.906,1705.902,761.4
3X,IncT3x_5,74552.219,90999.1098,13833.740972,126383.565,84.0642,124.6704,40503.384,10,1222.715,1525.983,739.7
3X,IncT3x_6,101416.575,120601.7241,10749.734469,137009.991,38.7505,64.9982,73092.751,10,1411.51,1684.569,696.9
3X,IncT3x_7,47569.304,54786.7236,5369.156042,63901.817,,,,10,1533.043,1714.812,756.7
3X,IncT3x_8,221192.734,242812.2361,13271.464944,266603.344,,,,10,1018.584,1655.806,878.9
3X,IncT3x_9,37867.292,46961.1386,6394.942674,57479.171,,,,10,1711.837,1749.983,822.5
3X,IncT3x_10,43726.346,48905.0603,4923.486163,59520.315,316.3873,365.702,10501.363,10,1351.715,1649.581,832.8
4X,IncT4x_1,101158.562,126364.1236,13071.154525,148880.709,122.5807,178.0409,45448.029,10,1028.797,1615.411,487.5
4X,IncT4x_2,188683.246,232722.2614,25545.697909,273481.35,70.5874,110.4028,110607.976,10,1388.454,1643.791,503.8
4X,IncT4x_3,97144.237,110291.0062,7878.000863,123443.748,99.955,127.0154,48583.051,10,1587.643,1710.033,483.2
4X,IncT4x_4,198915.417,222323.7942,15961.068385,246705.047,45.6336,62.7718,136586.186,10,1341.752,1627.968,512.3
4X,IncT4x_5,83918.115,111476.5886,17915.65578,141665.752,95.7359,160.015,42873.136,10,1128.807,1621.46,484.5
4X,IncT4x_6,142511.048,155809.4257,8654.236818,171776.114,88.383,105.9619,75649.648,10,992.963,1559.112,478.4
4X,IncT4x_7,76269.77,84506.1945,5416.903809,93286.583,369.5186,420.2222,16244.25,10,1531.869,1704.042,471.5
4X,IncT4x_8,258405.534,292131.6897,16677.646304,312214.372,48.3566,67.7195,174178.667,10,1562.883,1699.081,496.0
4X,IncT4x_9,55567.314,70513.1614,7742.642459,84122.314,137.5528,201.447,23391.565,10,1609.505,1695.831,472.1
4X,IncT4x_10,59484.482,70810.0704,11185.627021,96705.919,375.2947,465.7888,12515.284,10,1014.311,1612.72,484.6
5X,IncT5x_7,87045.064,98281.6385,7467.711043,111676.149,369.3394,429.926,18546.294,10,1219.133,1563.017,303.2
5X,IncT5x_8,267526.018,310180.4864,26318.941631,363013.023,52.0627,76.3076,175931.402,10,1126.532,1536.64,322.0
5X,IncT5x_9,69121.466,86521.2266,10032.053037,101878.261,187.8702,260.335,24011.33,10,1064.812,1528.619,306.6
