dataset,instance,Z_best,Z_mean,Z_std,Z_worst,gap_best_vs_mip,gap_mean_vs_mip,mip_bound,n_runs,t2best_best,t2best_mean,ils_iters_mean
Real,Ale_1,86308.908,88602.8517,1801.671893,91044.287,0.0513,2.7105,86264.683,10,778.987,1822.382,1127.6
Real,Ale_2,99968.134,101112.4841,651.174206,101993.548,0.0174,1.1623,99950.709,10,18.265,557.98,2588.1
Real,Ale_3,40735.321,42439.5637,1200.418541,44535.798,2.6203,6.9137,39695.173,10,17.953,1374.863,2540.0
Real,Ale_4,127777.551,129024.2697,1157.278948,131118.561,0.0404,1.0165,127725.976,10,4.826,692.397,2264.9
Real,Ale_5,35426.141,35454.8027,78.748256,35690.183,0.0,0.0809,35426.141,10,633.476,792.572,2149.0
Real,Ale_6,67131.923,68627.077,768.857047,69587.024,0.6816,2.924,66677.463,10,723.34,1662.559,2066.5
Real,Ale_7,10578.918,10578.918,0.0,10578.918,0.0975,0.0975,10568.618,10,795.365,1297.478,2092.4
Real,Ale_8,161396.634,162800.02,905.397483,164488.865,0.3012,1.1734,160911.938,10,177.173,940.921,2349.9
Real,Ale_9,15786.292,16028.8549,148.789232,16388.529,1.0134,2.5655,15627.917,10,18.899,1365.173,2151.4
Real,Ale_10,5658.468,6411.3444,257.809995,6909.415,0.3351,13.685,5639.568,10,721.163,1175.011,2218.0
2X,IncT2X_1,42131.48,43834.2662,964.460663,45425.166,4.858,9.096,40179.544,10,1302.618,3089.892,296.5
2X,IncT2X_2,106455.967,109959.4436,2301.028844,113791.744,,,,10,2154.662,3057.639,363.7
2X,IncT2X_3,44988.661,48130.8203,1429.19241,49796.458,4.7745,12.0923,42938.57,10,2051.557,3031.624,334.6
2X,IncT2X_4,132911.883,135572.9463,2165.675127,140517.153,1.0191,3.0416,131571.0,10,1558.411,2812.49,332.7
2X,IncT2X_5,38391.069,41638.9287,3838.674161,51260.256,0.5423,9.0481,38183.994,10,2105.192,3041.211,281.2
2X,IncT2X_6,71354.141,74496.7347,2212.033956,78941.952,1.4487,5.9168,70335.169,10,2243.028,2818.02,299.5
2X,IncT2X_7,13887.95,14744.449,837.530667,16693.413,2.8212,9.1625,13506.887,10,898.301,2602.461,291.7
2X,IncT2X_8,169602.936,174903.1128,3095.493269,179712.419,0.3459,3.4817,169018.311,10,1989.112,2584.75,338.1
2X,IncT2X_9,19099.846,20566.6611,692.83757,21826.442,2.5104,10.3829,18632.113,10,2083.525,3248.722,276.8
2X,IncT2X_10,8845.78,10203.8462,658.038806,11240.278,6.1252,22.4183,8335.23,10,2907.563,3323.925,297.4
3X,IncT3x_1,46301.96,49102.6273,2815.80501,55525.366,7.7311,14.2475,42979.183,10,950.777,2699.036,20.8
3X,IncT3x_2,112567.555,121108.5019,5234.092355,131272.104,3.83,11.708,108415.299,10,832.202,2508.81,20.7
3X,IncT3x_3,49602.858,54222.801,2186.30749,56966.85,8.5649,18.6765,45689.573,10,272.662,2179.691,19.5
3X,IncT3x_4,137497.564,141649.3173,2418.873481,145888.077,2.4434,5.5367,134218.018,10,963.328,3078.12,19.7
3X,IncT3x_5,49299.99,56683.4857,3405.046432,61783.737,21.7182,39.9475,40503.384,10,1575.273,2730.065,18.0
3X,IncT3x_6,78926.687,81561.3245,1822.788758,85413.351,7.9816,11.5861,73092.751,10,1503.058,2945.529,17.8
3X,IncT3x_7,20173.408,22159.2003,927.644237,23502.73,,,,10,641.59,2110.94,18.8
3X,IncT3x_8,177380.418,183909.3642,3445.428611,190667.827,,,,10,788.649,2097.311,19.0
3X,IncT3x_9,24600.295,28399.9462,1651.896727,31435.975,,,,10,1753.092,2774.787,17.2
3X,IncT3x_10,12905.258,15476.1421,1275.3781,17053.671,22.8913,47.3727,10501.363,10,1140.547,2766.516,19.3
4X,IncT4x_1,53784.224,59407.921,3054.729543,64003.094,18.3423,30.7162,45448.029,10,1955.987,2851.568,12.6
4X,IncT4x_2,115947.61,128555.397,8920.353964,148925.922,4.8275,16.2262,110607.976,10,1988.715,2801.767,12.0
4X,IncT4x_3,58187.639,62567.0226,2443.411863,66961.718,19.7694,28.7837,48583.051,10,369.324,2424.372,12.4
4X,IncT4x_4,143323.188,152961.7217,7258.966706,165147.692,4.9324,11.9892,136586.186,10,2304.78,2869.703,11.2
