instance,dataset,T,J,I,n_runs,Z_best,Z_mean,Z_std,Z_worst,t2best_best,t2best_mean,iters_mean,mip_bound,gap_best_vs_mip
IncT2X_1,2X,38,159,52,10,56781.252,62677.7226,3323.335973,66475.511,72.995,646.049,619.3,40179.544,41.3188
IncT2X_10,2X,38,159,52,10,18195.091,21414.6766,2058.656327,24979.508,420.054,1018.639,614.1,8335.23,118.2914
IncT2X_2,2X,38,159,52,10,111931.515,123386.5576,7444.928387,137245.701,36.223,546.852,710.2,105100.906,6.4991
IncT2X_3,2X,38,159,52,10,57318.583,61098.4296,2683.738175,65055.363,15.5,498.361,615.6,42938.57,33.4897
IncT2X_4,2X,38,159,52,10,150481.479,153253.4269,2189.122969,157090.757,541.954,1129.289,759.7,131571.0,14.3728
IncT2X_5,2X,38,159,52,10,47329.026,50914.0654,2322.741231,54135.7,170.079,845.605,592.5,38183.994,23.9499
IncT2X_6,2X,38,159,52,10,70769.257,79110.7428,3692.389007,83166.137,256.176,691.442,600.6,70335.169,0.6172
IncT2X_7,2X,38,159,52,10,23159.862,24820.3538,1443.774026,28004.764,73.472,646.789,578.9,13506.887,71.4671
IncT2X_8,2X,38,159,52,10,198643.659,210182.1072,6242.000128,219188.388,15.056,948.187,707.2,169018.311,17.5279
IncT2X_9,2X,38,159,52,10,24464.038,29638.2797,2708.452781,34240.182,72.749,910.67,622.7,18632.113,31.3004
IncT3x_1,3X,57,159,52,10,66534.182,75778.2424,5615.305826,82614.9,3.703,789.815,314.3,42979.18296,54.8056
IncT3x_10,3X,57,159,52,10,29129.277,33668.5299,2912.256625,38201.958,118.131,770.614,313.8,10501.363105,177.3857
IncT3x_2,3X,57,159,52,10,131213.38,144913.2059,7952.431131,155019.299,9.81,868.1,353.9,108415.298656,21.0285
IncT3x_3,3X,57,159,52,10,68149.324,72731.4894,2573.61152,76897.897,174.002,1125.838,319.3,45689.573082,49.1573
IncT3x_4,3X,57,159,52,10,160951.949,170033.0949,6447.535827,179476.85,241.72,748.274,374.8,134218.018056,19.9183
IncT3x_5,3X,57,159,52,10,56074.933,63332.4694,4231.298949,68220.112,43.06,651.146,316.7,40503.384026,38.4451
IncT3x_6,3X,57,159,52,10,91409.074,96374.6275,3087.44862,102389.248,22.41,694.318,310.3,73092.751498,25.059
IncT3x_7,3X,57,159,52,10,29147.358,34784.583,3345.378811,39048.38,271.349,953.347,294.3,,
IncT3x_8,3X,57,159,52,10,221998.122,233170.6631,6934.459919,247860.106,3.118,849.672,345.6,,
IncT3x_9,3X,57,159,52,10,32288.285,39920.9529,4047.964998,45781.345,199.488,976.974,302.4,,
IncT4x_1,4X,76,159,52,10,84859.137,89667.4419,4989.79945,100982.295,27.196,697.823,198.2,45448.028958,86.7169
IncT4x_10,4X,76,159,52,10,36754.107,45072.8832,5530.862545,54231.138,366.719,1151.216,198.5,12515.283732,193.6738
IncT4x_2,4X,76,159,52,10,138427.121,153895.2554,11399.835562,170401.892,224.211,1065.893,220,110607.975981,25.1511
IncT4x_3,4X,76,159,52,10,80210.725,83068.5813,2765.865545,87486.46,15.026,443.336,197.4,48583.051269,65.1002
IncT4x_4,4X,76,159,52,10,175884.943,185326.7338,4521.014862,190046.128,234.161,1060.677,227.9,136586.18608,28.7721
IncT4x_5,4X,76,159,52,10,65546.131,74736.8812,5244.410467,82431.189,30.353,654.632,203.1,42873.136315,52.8839
IncT4x_6,4X,76,159,52,10,93470.445,106678.5215,5979.01777,115341.902,71.979,677.729,192.2,75649.648206,23.557
IncT4x_7,4X,76,159,52,10,37988.441,44841.4432,4423.983732,51659.03,91.207,740.746,187.2,16244.250381,133.8578
IncT4x_8,4X,76,159,52,10,220622.768,247452.0466,10646.605119,257807.982,63.737,1115.19,210.8,174178.666981,26.6646
IncT4x_9,4X,76,159,52,10,46549.061,50457.9224,2467.828146,53926.487,193.511,1086.796,188.2,23391.565429,98.9993
IncT5x_1,5X,95,159,52,10,85971.92,100995.0926,6965.544368,108561.203,99.234,550.992,139.6,47662.707147,80.3757
IncT5x_10,5X,95,159,52,10,50259.398,57318.4665,4333.432395,63231.386,34.769,674.384,137.4,13779.688617,264.7354
IncT5x_2,5X,95,159,52,10,171441.287,182218.5989,6146.817433,192088.069,8.695,614.413,154.8,112895.17708,51.8588
IncT5x_3,5X,95,159,52,10,87932.083,95527.2692,4589.012614,104196.425,73.738,802.026,138.8,51461.815644,70.8686
IncT5x_4,5X,95,159,52,10,181417.469,195090.1536,8650.724992,204419.165,35.718,567.859,158.9,138997.565845,30.5185
IncT5x_5,5X,95,159,52,10,71430.749,82527.0001,6612.259974,91767.323,109.362,609.755,141.6,45181.148493,58.0986
IncT5x_6,5X,95,159,52,10,106434.55,116533.9595,6274.523002,127176.985,196.882,819.666,134.7,77922.383059,36.5905
IncT5x_7,5X,95,159,52,10,50024.776,56754.2575,3504.144404,60794.858,285.256,1027.089,132.4,18546.29353,169.7292
IncT5x_8,5X,95,159,52,10,253991.037,264877.4125,6009.141198,272785.766,49.797,761.511,145.9,175931.402325,44.3694
IncT5x_9,5X,95,159,52,10,54351.447,61310.6011,5409.266712,68581.26,125.661,554.583,134.3,24011.330431,126.3575
Ale_1,Real,25,160,52,10,93422.649,99359.6465,3124.328885,104913.094,78.099,739.702,1480.4,86264.683,8.2977
Ale_10,Real,19,159,52,10,7422.331,8600.3351,702.856516,9587.697,49.429,556.732,2483.9,5639.568,31.6117
Ale_2,Real,19,159,52,10,90410.515,94366.0465,2063.696739,96981.692,37.774,729.928,2772,99950.709,-9.5449
Ale_3,Real,19,159,52,10,44164.765,46147.965,1312.002564,48006.074,56.604,847.59,2509.5,39695.173,11.2598
Ale_4,Real,19,159,52,10,129960.188,131936.2173,923.733596,133098.261,113.609,881.339,3339.6,127725.976,1.7492
Ale_5,Real,19,159,52,10,32050.424,35795.6651,1862.052115,37821.446,301.834,752.569,2423.2,35426.141,-9.5289
Ale_6,Real,19,159,52,10,62875.718,64601.5274,1203.213067,66340.523,135.667,594.755,2373.4,66677.463,-5.7017
Ale_7,Real,19,159,52,10,12475.028,13471.7737,418.87974,13897.435,27.67,682.726,2248.4,10568.618,18.0384
Ale_8,Real,19,159,52,10,170774.817,173723.4726,2278.350827,177000.345,80.722,845.423,2639.6,160911.938,6.1294
Ale_9,Real,19,159,52,10,16519.851,17728.2286,882.237909,19091.459,15.616,872.469,2879.2,15627.917,5.7073
