grade,dataset,instance,method,seed,budget_s,Z_final,construction_used,rf_wall_time_s,wall_time_total,window_log_rows,early_stop_reason,status
A,Real,Ale_1,rf+fo,1,3600.0,86317.983,rf,7.782,3602.323,404,,ok
A,Real,Ale_10,rf+fo,1,3600.0,5658.468,rf,3.142,7.091,4,fo_window_covers_horizon,ok
A,Real,Ale_2,rf+fo,1,3600.0,99950.709,rf,2.642,6.741,4,fo_window_covers_horizon,ok
A,Real,Ale_3,rf+fo,1,3600.0,39695.173,rf,3.384,8.062,4,fo_window_covers_horizon,ok
A,Real,Ale_4,rf+fo,1,3600.0,127800.463,rf,3.831,7.961,4,fo_window_covers_horizon,ok
A,Real,Ale_5,rf+fo,1,3600.0,35439.916,rf,3.359,8.138,4,fo_window_covers_horizon,ok
A,Real,Ale_6,rf+fo,1,3600.0,66677.463,rf,2.778,6.366,4,fo_window_covers_horizon,ok
A,Real,Ale_7,rf+fo,1,3600.0,10568.618,rf,3.58,45.078,4,fo_window_covers_horizon,ok
A,Real,Ale_8,rf+fo,1,3600.0,160911.938,rf,2.415,5.92,4,fo_window_covers_horizon,ok
A,Real,Ale_9,rf+fo,1,3600.0,15635.217,rf,3.803,8.423,4,fo_window_covers_horizon,ok
A,2X,IncT2X_1,rf+fo,1,3600.0,40395.882,rf,23.514,3593.137,1153,,ok
A,2X,IncT2X_10,rf+fo,1,3600.0,8402.793,rf,21.07,3593.28,1042,,ok
A,2X,IncT2X_2,rf+fo,1,3600.0,105211.081,rf,20.467,3592.77,1263,,ok
A,2X,IncT2X_3,rf+fo,1,3600.0,42940.295,rf,21.581,3592.824,1175,,ok
A,2X,IncT2X_4,rf+fo,1,3600.0,132100.436,rf,22.369,3594.358,1115,,ok
A,2X,IncT2X_5,rf+fo,1,3600.0,38265.119,rf,23.198,3596.667,1074,,ok
A,2X,IncT2X_6,rf+fo,1,3600.0,70572.794,rf,21.758,3594.205,1235,,ok
A,2X,IncT2X_7,rf+fo,1,3600.0,13618.675,rf,27.055,3596.682,444,,ok
A,2X,IncT2X_8,rf+fo,1,3600.0,169724.484,rf,17.504,3592.101,1306,,ok
A,2X,IncT2X_9,rf+fo,1,3600.0,18794.183,rf,22.804,3593.606,1043,,ok
A,3X,IncT3x_1,rf+fo,1,3600.0,44071.776,rf,82.278,3593.914,612,,ok
A,3X,IncT3x_10,rf+fo,1,3600.0,11392.717,rf,78.869,3592.204,568,,ok
A,3X,IncT3x_2,rf+fo,1,3600.0,108784.587,rf,71.772,3594.069,671,,ok
A,3X,IncT3x_3,rf+fo,1,3600.0,46177.467,rf,74.189,3596.836,637,,ok
A,3X,IncT3x_4,rf+fo,1,3600.0,135703.95,rf,86.011,3592.209,644,,ok
A,3X,IncT3x_5,rf+fo,1,3600.0,41043.244,rf,79.795,3597.877,606,,ok
A,3X,IncT3x_6,rf+fo,1,3600.0,74043.145,rf,77.546,3599.074,650,,ok
A,3X,IncT3x_7,rf+fo,1,3600.0,16517.632,rf,87.266,3606.542,280,,ok
A,3X,IncT3x_8,rf+fo,1,3600.0,174281.637,rf,65.05,3597.338,664,,ok
A,3X,IncT3x_9,rf+fo,1,3600.0,21782.345,rf,86.637,3595.849,621,,ok
A,4X,IncT4x_1,rf+fo,1,3600.0,47116.022,rf,209.993,3598.125,374,,ok
A,4X,IncT4x_10,rf+fo,1,3600.0,14442.92,rf,207.558,3591.775,385,,ok
A,4X,IncT4x_2,rf+fo,1,3600.0,113457.063,rf,181.367,3595.48,385,,ok
A,4X,IncT4x_3,rf+fo,1,3600.0,50216.932,rf,213.764,3593.18,374,,ok
A,4X,IncT4x_4,rf+fo,1,3600.0,138910.452,rf,226.363,3595.611,390,,ok
A,4X,IncT4x_5,rf+fo,1,3600.0,43885.225,rf,201.312,3592.287,371,,ok
A,4X,IncT4x_6,rf+fo,1,3600.0,77209.306,rf,211.583,3594.074,391,,ok
A,4X,IncT4x_7,rf+fo,1,3600.0,19698.839,rf,208.879,3598.302,243,,ok
A,4X,IncT4x_8,rf+fo,1,3600.0,176310.751,rf,169.844,3595.415,404,,ok
A,4X,IncT4x_9,rf+fo,1,3600.0,24780.369,rf,223.992,3593.339,382,,ok
A,5X,IncT5x_1,rf+fo,1,3600.0,50351.243,rf,413.064,3595.083,242,,ok
A,5X,IncT5x_10,rf+fo,1,3600.0,16267.411,rf,472.348,3595.969,230,,ok
A,5X,IncT5x_2,rf+fo,1,3600.0,116392.639,rf,385.792,3601.444,254,,ok
A,5X,IncT5x_3,rf+fo,1,3600.0,56950.294,rf,427.724,3598.358,235,,ok
A,5X,IncT5x_4,rf+fo,1,3600.0,142135.253,rf,405.154,3602.555,261,,ok
A,5X,IncT5x_5,rf+fo,1,3600.0,46686.65,rf,406.26,3598.95,247,,ok
A,5X,IncT5x_6,rf+fo,1,3600.0,81625.778,rf,407.22,3597.433,249,,ok
A,5X,IncT5x_7,rf+fo,1,3600.0,23034.683,rf,397.556,3605.367,199,,ok
A,5X,IncT5x_8,rf+fo,1,3600.0,180758.497,rf,336.147,3606.425,261,,ok
A,5X,IncT5x_9,rf+fo,1,3600.0,29538.702,rf,404.349,3611.14,201,,ok
