grade,dataset,instance,method,seed,budget_s,Z_final,construction_used,rf_wall_time_s,wall_time_total,window_log_rows,early_stop_reason,status
B,Real,Ale_1,mip,1,600.0,86264.683,mip,0.0,50.608,0,,ok
B,Real,Ale_1,rf+fo,1,600.0,86317.983,rf,7.87,593.338,70,,ok
B,Real,Ale_1,rf+mip,1,600.0,86264.683,rf,7.275,58.203,4,,ok
B,Real,Ale_10,mip,1,600.0,5639.568,mip,0.0,4.139,0,,ok
B,Real,Ale_10,rf+fo,1,600.0,5658.468,rf,2.825,6.737,4,fo_window_covers_horizon,ok
B,Real,Ale_10,rf+mip,1,600.0,5639.568,rf,2.804,6.9,3,,ok
B,Real,Ale_2,mip,1,600.0,99950.709,mip,0.0,3.884,0,,ok
B,Real,Ale_2,rf+fo,1,600.0,99950.709,rf,2.663,6.703,4,fo_window_covers_horizon,ok
B,Real,Ale_2,rf+mip,1,600.0,99950.709,rf,3.001,7.009,3,,ok
B,Real,Ale_3,mip,1,600.0,39695.173,mip,0.0,4.44,0,,ok
B,Real,Ale_3,rf+fo,1,600.0,39695.173,rf,3.508,8.402,4,fo_window_covers_horizon,ok
B,Real,Ale_3,rf+mip,1,600.0,39695.173,rf,3.434,8.399,3,,ok
B,Real,Ale_4,mip,1,600.0,127725.976,mip,0.0,4.238,0,,ok
B,Real,Ale_4,rf+fo,1,600.0,127800.463,rf,3.916,8.052,4,fo_window_covers_horizon,ok
B,Real,Ale_4,rf+mip,1,600.0,127725.976,rf,3.868,8.961,3,,ok
B,Real,Ale_5,mip,1,600.0,35426.141,mip,0.0,4.375,0,,ok
B,Real,Ale_5,rf+fo,1,600.0,35439.916,rf,3.246,8.122,4,fo_window_covers_horizon,ok
B,Real,Ale_5,rf+mip,1,600.0,35426.141,rf,3.248,8.114,3,,ok
B,Real,Ale_6,mip,1,600.0,66677.463,mip,0.0,3.595,0,,ok
B,Real,Ale_6,rf+fo,1,600.0,66677.463,rf,2.879,6.519,4,fo_window_covers_horizon,ok
B,Real,Ale_6,rf+mip,1,600.0,66677.463,rf,2.939,6.766,3,,ok
B,Real,Ale_7,mip,1,600.0,10568.618,mip,0.0,45.501,0,,ok
B,Real,Ale_7,rf+fo,1,600.0,10568.618,rf,3.58,48.505,4,fo_window_covers_horizon,ok
B,Real,Ale_7,rf+mip,1,600.0,10568.618,rf,3.66,46.877,3,,ok
B,Real,Ale_8,mip,1,600.0,160911.938,mip,0.0,3.502,0,,ok
B,Real,Ale_8,rf+fo,1,600.0,160911.938,rf,2.599,6.278,4,fo_window_covers_horizon,ok
B,Real,Ale_8,rf+mip,1,600.0,160911.938,rf,2.605,6.573,3,,ok
B,Real,Ale_9,mip,1,600.0,15627.917,mip,0.0,4.647,0,,ok
