dataset,instance,Z_rf_fo,Z_rf_mip,Z_mip,best_method,best_Z,path_rf_fo,path_rf_mip,path_mip
8X,IncT8x_2,141146.399,134500.543,131839.464,mip,131839.464,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_2_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_2_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_2_mip_seed1_b3600.json
8X,IncT8x_3,79473.057,68783.65,71839.478,rf+mip,68783.65,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_3_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_3_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_3_mip_seed1_b3600.json
8X,IncT8x_4,159958.731,158113.714,166073.216,rf+mip,158113.714,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_4_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_4_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_4_mip_seed1_b3600.json
8X,IncT8x_5,71855.978,61371.845,59924.391,mip,59924.391,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_5_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_5_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_5_mip_seed1_b3600.json
8X,IncT8x_6,100008.734,98744.057,103833.803,rf+mip,98744.057,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_6_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_6_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_6_mip_seed1_b3600.json
10X,IncT10x_2,209676.831,165438.755,185344.308,rf+mip,165438.755,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_2_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_2_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_2_mip_seed1_b3600.json
10X,IncT10x_3,128314.728,102151.544,102753.138,rf+mip,102151.544,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_3_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_3_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_3_mip_seed1_b3600.json
10X,IncT10x_4,216208.276,188575.59,185779.606,mip,185779.606,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_4_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_4_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_4_mip_seed1_b3600.json
10X,IncT10x_5,154102.825,165170.737,68914.12,mip,68914.12,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_5_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_5_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_5_mip_seed1_b3600.json
10X,IncT10x_6,161011.652,127960.821,130545.565,rf+mip,127960.821,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_6_rf_fo_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_6_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_6_mip_seed1_b3600.json
