dataset,instance,Z_rf_fo,Z_rf_mip,Z_mip,best_decomp_method,best_decomp_Z,decomp_beats_mip,best_method,best_Z,path_rf_fo,path_rf_mip,path_mip
8X,IncT8x_2,135291.725,131246.445,131839.464,rf+mip,131246.445,True,rf+mip,131246.445,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_2_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_2_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_2_mip_seed1_b3600.json
8X,IncT8x_3,77987.822,71896.386,71839.478,rf+mip,71896.386,False,mip,71839.478,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_3_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_3_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_3_mip_seed1_b3600.json
8X,IncT8x_4,160989.844,160602.997,166073.216,rf+mip,160602.997,True,rf+mip,160602.997,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_4_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_4_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_4_mip_seed1_b3600.json
8X,IncT8x_5,60653.804,58152.349,59924.391,rf+mip,58152.349,True,rf+mip,58152.349,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_5_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_5_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_5_mip_seed1_b3600.json
8X,IncT8x_6,97667.582,99419.134,103833.803,rf+fo,97667.582,True,rf+fo,97667.582,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_6_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT8x_6_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT8x_6_mip_seed1_b3600.json
10X,IncT10x_2,142834.183,154797.48,185344.308,rf+fo,142834.183,True,rf+fo,142834.183,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_2_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_2_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_2_mip_seed1_b3600.json
10X,IncT10x_3,88476.214,87275.452,102753.138,rf+mip,87275.452,True,rf+mip,87275.452,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_3_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_3_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_3_mip_seed1_b3600.json
10X,IncT10x_4,172982.609,376198.08,185779.606,rf+fo,172982.609,True,rf+fo,172982.609,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_4_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_4_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_4_mip_seed1_b3600.json
10X,IncT10x_5,83018.375,87036.326,68914.12,rf+fo,83018.375,False,mip,68914.12,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_5_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_5_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_5_mip_seed1_b3600.json
10X,IncT10x_6,109047.046,187103.043,130545.565,rf+fo,109047.046,True,rf+fo,109047.046,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_6_rf_fo_seed1_b3600.json,experiments\matheuristics\results_scale_8x10x_v2\IncT10x_6_rf_mip_seed1_b3600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_scale_8x10x\IncT10x_6_mip_seed1_b3600.json
