dataset,instance,budget_s,Z_rf_fo,Z_rf_mip,Z_mip,Z_ils_v2_best_until_budget,ils_v2_run_id,ils_v2_time_to_best_s,best_method,best_Z,fo_accepts_rf_fo,path_rf_fo,path_rf_mip,path_mip
3X,IncT3x_3,300,47769.556,46239.367,48147.231,53728.903,6,119.21,rf+mip,46239.367,9,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_3_rf_fo_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_3_rf_mip_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_3_mip_seed1_b300.json
3X,IncT3x_3,600,48237.316,46190.017,46210.117,53728.903,6,119.21,rf+mip,46190.017,2,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_3_rf_fo_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_3_rf_mip_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_3_mip_seed1_b600.json
3X,IncT3x_7,300,16702.607,16603.182,16664.6,23026.037,4,276.037,rf+mip,16603.182,8,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_7_rf_fo_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_7_rf_mip_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_7_mip_seed1_b300.json
3X,IncT3x_7,600,16532.257,16441.491,16651.675,23026.037,4,276.037,rf+mip,16441.491,11,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_7_rf_fo_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_7_rf_mip_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT3x_7_mip_seed1_b600.json
4X,IncT4x_3,300,51437.32,53449.044,50288.764,63255.293,10,197.705,mip,50288.764,9,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_3_rf_fo_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_3_rf_mip_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_3_mip_seed1_b300.json
4X,IncT4x_3,600,51777.217,49578.045,49521.664,62926.853,3,578.983,mip,49521.664,10,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_3_rf_fo_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_3_rf_mip_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_3_mip_seed1_b600.json
4X,IncT4x_7,300,23259.55,23534.72,22685.483,38851.599,2,159.241,mip,22685.483,5,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_7_rf_fo_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_7_rf_mip_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_7_mip_seed1_b300.json
4X,IncT4x_7,600,20675.807,21389.233,21657.453,26897.394,2,516.19,rf+fo,20675.807,15,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_7_rf_fo_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_7_rf_mip_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT4x_7_mip_seed1_b600.json
5X,IncT5x_3,300,93627.594,380937.341,56023.127,69520.774,7,289.478,mip,56023.127,2,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_3_rf_fo_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_3_rf_mip_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_3_mip_seed1_b300.json
5X,IncT5x_3,600,64791.163,56597.058,55824.522,68096.09,9,500.187,mip,55824.522,17,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_3_rf_fo_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_3_rf_mip_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_3_mip_seed1_b600.json
5X,IncT5x_10,300,999420.861,283461.421,18657.518,26440.814,10,144.068,mip,18657.518,1,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_10_rf_fo_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_10_rf_mip_seed1_b300.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_10_mip_seed1_b300.json
5X,IncT5x_10,600,18776.77,18536.715,17880.24,26440.814,10,144.068,mip,17880.24,13,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_10_rf_fo_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_10_rf_mip_seed1_b600.json,D:\GitHub\Treibacher\experiments\matheuristics\results_short_budget\IncT5x_10_mip_seed1_b600.json
