method,dataset,instance,run_id,seed,Z,bound,gap_solver_pct,time_to_best_s,total_time_s,time_budget_s,model_status,iterations,T,J,I,source_path,raw_method,construction_used,Z_construction,rf_wall_time_s
CPLEX22_1h,2X,IncT2X_1,1,,40179.544,40179.544,0.0,,219.9631,3600.0,OptimalGlobal,4732849.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_10,1,,8335.23,8335.23,0.0,,184.1404,3600.0,OptimalGlobal,3819606.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_2,1,,105100.906,105100.906,0.0,,55.3041,3600.0,OptimalGlobal,650202.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_3,1,,42938.57,42938.57,0.0,,1313.137,3600.0,OptimalGlobal,16114173.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_4,1,,131571.0,131571.0,0.0,,64.9986,3600.0,OptimalGlobal,652340.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_5,1,,38183.994,38183.994,0.0,,337.8791,3600.0,OptimalGlobal,6237882.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_6,1,,70335.169,70335.169,0.0,,455.5469,3600.0,OptimalGlobal,6495266.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_7,1,,13506.887,13506.887,0.0,,1757.0309,3600.0,OptimalGlobal,10385332.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_8,1,,169018.311,169018.311,0.0,,82.6851,3600.0,OptimalGlobal,1068627.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,2X,IncT2X_9,1,,18632.113,18632.113,0.0,,2395.7186,3600.0,OptimalGlobal,20230480.0,38.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_1,1,,43446.121,42904.315727,1.247074,,3601.9649,3600.0,Integer,3942812.0,57.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_10,1,,10937.023,10471.158125,4.259522,,3642.8695,3600.0,Integer,23690201.0,57.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_2,1,,108645.892,108359.620274,0.263491,,3631.1022,3600.0,Integer,11518185.0,57.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_3,1,,46154.492,45644.861159,1.104185,,3619.5587,3600.0,Integer,5687640.0,57.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_4,1,,134477.501,134178.43315,0.222392,,3609.8917,3600.0,Integer,20825887.0,57.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_5,1,,40735.322,40455.733016,0.686355,,3646.1459,3600.0,Integer,8807793.0,57.0,159.0,50.0,,,,,
CPLEX22_1h,3X,IncT3x_6,1,,73458.775,73051.893245,0.553891,,3610.9705,3600.0,Integer,19164175.0,57.0,159.0,50.0,,,,,
