dataset,instance,Z_mean,Z_std,Z_min,Z_max,Z_range
10X,IncT10x_5,80393.43299999999,3035.846999512319,78246.765,82540.101,4293.335999999996
3X,IncT3x_3,46177.467,0.0,46177.467,46177.467,0.0
3X,IncT3x_7,16517.632,0.0,16517.632,16517.632,0.0
4X,IncT4x_3,50216.932,0.0,50216.932,50216.932,0.0
4X,IncT4x_7,19519.564,0.0,19519.564,19519.564,0.0
5X,IncT5x_10,16432.742,448.20811853646745,16115.811,16749.673,633.8619999999992
5X,IncT5x_3,56950.294,0.0,56950.294,56950.294,0.0
8X,IncT8x_2,135505.43,330.82697864592825,135271.5,135739.36,467.85999999998603
8X,IncT8x_3,77834.849,106.35168831758824,77759.647,77910.051,150.40400000000955
8X,IncT8x_4,160989.31949999998,731.9255220994155,160471.77,161506.869,1035.0990000000165
8X,IncT8x_5,60119.9875,195.1381370837032,59982.004,60257.971,275.9669999999969
8X,IncT8x_6,96744.93900000001,237.90607653020672,96576.714,96913.164,336.4499999999971
