dataset,instance,product,period,value
S,S_1,EK8A_16,9,204.0
S,S_1,EK8A_16,19,46.0
S,S_1,EK8A_24,10,1102.0
S,S_1,EK8A_24,13,693.0
S,S_1,EK8A_24,19,205.0
S,S_1,EK8A_30,11,1130.0
S,S_1,EK8A_30,19,120.0
S,S_1,EK8A_36,3,1227.0
S,S_1,EK8A_36,10,726.0
S,S_1,EK8A_36,14,296.0
S,S_1,EK8A_36,18,911.0
S,S_1,EK8A_36,19,1090.0
S,S_1,EK8A_46,10,2888.0
S,S_1,EK8A_46,15,494.0
S,S_1,EK8A_46,16,5438.0
S,S_1,EK8A_46,19,680.0
S,S_1,EK8A_54,10,1478.0
S,S_1,EK8A_54,14,334.0
S,S_1,EK8A_54,19,188.0
S,S_1,EK8A_60,9,2363.0
S,S_1,EK8A_60,13,614.0
S,S_1,EK8A_60,17,7544.0
S,S_1,EK8A_60,19,29.0
S,S_1,EK8A_80,6,6638.0
S,S_1,EK8A_80,8,1721.0
S,S_1,EK8A_80,12,689.0
S,S_1,EK8A_80,17,457.0
S,S_1,EK8A_80,18,399.0
S,S_1,EK8A_80,19,96.0
S,S_1,EK8A_100,6,474.0
S,S_1,EK8A_100,10,2853.0
S,S_1,EK8A_100,19,123.0
S,S_1,EK8A_120,12,162.0
S,S_1,EK8A_120,14,1458.0
S,S_1,EK8A_120,17,1848.0
S,S_1,EK8A_120,18,975.0
S,S_1,EK8A_120,19,157.0
S,S_1,EK8A_150,4,3202.0
S,S_1,EK8A_150,7,338.0
S,S_1,EK8A_150,15,959.0
S,S_1,EK8A_150,19,1.0
S,S_1,EK8A_FFF,16,2483.0
S,S_1,EK8A_FFF,19,517.0
S,S_1,EK8R_3_5_7,2,803.0
S,S_1,EK8R_3_5_7,19,197.0
S,S_1,EK8R_4_10,4,1070.0
S,S_1,EK8R_4_10,17,6225.0
S,S_1,EK8R_4_10,19,1705.0
S,S_1,EK8R_6_10,8,2590.0
S,S_1,EK8R_6_10,9,217.0
S,S_1,EK8R_6_10,10,777.0
S,S_1,EK8R_6_10,17,187.0
S,S_1,EK8R_6_10,19,229.0
S,S_1,EK8R_10_20,15,255.0
S,S_1,EK8R_10_20,17,615.0
S,S_1,EK8R_10_20,19,30.0
S,S_1,EK8R_12_16,4,256.0
S,S_1,EK8R_12_16,10,10626.0
S,S_1,EK8R_12_16,16,687.0
S,S_1,EK8R_12_16,18,322.0
S,S_1,EK8R_12_16,19,109.0
S,S_1,EK8R_10_36,6,1410.0
S,S_1,EK8R_10_36,8,381.0
S,S_1,EK8R_10_36,19,209.0
S,S_1,EK8R_20_40,4,1386.0
S,S_1,EK8R_20_40,7,216.0
S,S_1,EK8R_20_40,10,1223.0
S,S_1,EK8R_20_40,12,229.0
S,S_1,EK8R_20_40,19,96.0
S,S_1,EK8R_08_20,7,217.0
S,S_1,EK8R_08_20,13,671.0
S,S_1,EK8R_08_20,14,1975.0
S,S_1,EK8R_08_20,19,137.0
S,S_1,EK8R_40_F,13,1507.0
S,S_1,EK8R_40_F,18,2418.0
S,S_1,EK8R_40_F,19,75.0
S,S_1,EK8R_70_F,9,199.0
S,S_1,EK8R_70_F,11,722.0
S,S_1,EK8R_70_F,17,5932.0
S,S_1,EK8R_70_F,19,147.0
S,S_1,EK8R_16_F,3,5252.0
S,S_1,EK8R_16_F,5,2349.0
S,S_1,EK8R_16_F,17,340.0
S,S_1,EK8R_16_F,19,59.0
S,S_1,EK8R_18_F,12,1820.0
S,S_1,EK8R_18_F,13,286.0
S,S_1,EK8R_18_F,14,7209.0
S,S_1,EK8R_18_F,17,1158.0
S,S_1,EK8R_18_F,18,2391.0
S,S_1,EK8R_18_F,19,136.0
S,S_1,EK8RM_05_16_4,7,3503.0
S,S_1,EK8RM_05_16_4,10,2770.0
S,S_1,EK8RM_05_16_4,12,213.0
S,S_1,EK8RM_05_16_4,14,599.0
S,S_1,EK8RM_05_16_4,18,317.0
S,S_1,EK8RM_05_16_4,19,98.0
S,S_1,EK8RM_01_4_4,2,464.0
S,S_1,EK8RM_01_4_4,7,4395.0
S,S_1,EK8RM_01_4_4,17,4084.0
S,S_1,EK8RM_01_4_4,19,57.0
S,S_1,EK8RM_4_6,10,5988.0
S,S_1,EK8RM_4_6,19,12.0
S,S_1,EK8RM_6_8,7,7203.0
S,S_1,EK8RM_6_8,16,285.0
