dataset,instance,T,J,I,binary_variables,continuous_variables,constraints,source_py,source_json
S,S_1,19,159,50,3021,1901,970,instances\gamspy_py\S\S_1.py,instances\json\S\S_1.json
S,S_10,19,159,50,3021,1901,970,instances\gamspy_py\S\S_10.py,instances\json\S\S_10.json
S,S_2,19,159,50,3021,1901,970,instances\gamspy_py\S\S_2.py,instances\json\S\S_2.json
S,S_3,19,159,50,3021,1901,970,instances\gamspy_py\S\S_3.py,instances\json\S\S_3.json
S,S_4,19,159,50,3021,1901,970,instances\gamspy_py\S\S_4.py,instances\json\S\S_4.json
S,S_5,19,159,50,3021,1901,970,instances\gamspy_py\S\S_5.py,instances\json\S\S_5.json
S,S_6,19,159,50,3021,1901,970,instances\gamspy_py\S\S_6.py,instances\json\S\S_6.json
S,S_7,19,159,50,3021,1901,970,instances\gamspy_py\S\S_7.py,instances\json\S\S_7.json
S,S_8,19,159,50,3021,1901,970,instances\gamspy_py\S\S_8.py,instances\json\S\S_8.json
S,S_9,19,159,50,3021,1901,970,instances\gamspy_py\S\S_9.py,instances\json\S\S_9.json
2X,IncT2X_1,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_1.py,instances\json\2X\IncT2X_1.json
2X,IncT2X_10,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_10.py,instances\json\2X\IncT2X_10.json
2X,IncT2X_2,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_2.py,instances\json\2X\IncT2X_2.json
2X,IncT2X_3,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_3.py,instances\json\2X\IncT2X_3.json
2X,IncT2X_4,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_4.py,instances\json\2X\IncT2X_4.json
2X,IncT2X_5,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_5.py,instances\json\2X\IncT2X_5.json
2X,IncT2X_6,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_6.py,instances\json\2X\IncT2X_6.json
2X,IncT2X_7,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_7.py,instances\json\2X\IncT2X_7.json
2X,IncT2X_8,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_8.py,instances\json\2X\IncT2X_8.json
2X,IncT2X_9,38,159,50,6042,3801,1939,instances\gamspy_py\2X\IncT2X_9.py,instances\json\2X\IncT2X_9.json
3X,IncT3x_1,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_1.py,instances\json\3X\IncT3x_1.json
3X,IncT3x_10,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_10.py,instances\json\3X\IncT3x_10.json
3X,IncT3x_2,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_2.py,instances\json\3X\IncT3x_2.json
3X,IncT3x_3,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_3.py,instances\json\3X\IncT3x_3.json
3X,IncT3x_4,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_4.py,instances\json\3X\IncT3x_4.json
3X,IncT3x_5,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_5.py,instances\json\3X\IncT3x_5.json
3X,IncT3x_6,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_6.py,instances\json\3X\IncT3x_6.json
3X,IncT3x_7,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_7.py,instances\json\3X\IncT3x_7.json
3X,IncT3x_8,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_8.py,instances\json\3X\IncT3x_8.json
3X,IncT3x_9,57,159,50,9063,5701,2908,instances\gamspy_py\3X\IncT3x_9.py,instances\json\3X\IncT3x_9.json
4X,IncT4x_1,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_1.py,instances\json\4X\IncT4x_1.json
4X,IncT4x_10,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_10.py,instances\json\4X\IncT4x_10.json
4X,IncT4x_2,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_2.py,instances\json\4X\IncT4x_2.json
4X,IncT4x_3,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_3.py,instances\json\4X\IncT4x_3.json
