dataset,instance,cplex_bound,cplex_gap_pct,cplex_mip_10800_bound,cplex_mip_10800_gap_pct
S,S_1,36964.861,0.0,36964.861,0.0
S,S_10,5639.568,0.0,,
S,S_2,99950.709,0.0,,
S,S_3,39695.173,0.0,,
S,S_4,127725.976,0.0,,
S,S_5,35426.141,0.0,,
S,S_6,66677.463,0.0,,
S,S_7,10568.618,0.0,,
S,S_8,160911.938,0.0,,
S,S_9,15627.917,0.0,,
2X,IncT2X_1,40179.544,0.0,,
2X,IncT2X_10,8335.23,0.0,,
2X,IncT2X_2,105100.906,0.0,,
2X,IncT2X_3,42938.57,0.0,,
2X,IncT2X_4,131571.0,0.0,,
2X,IncT2X_5,38183.994,0.0,,
2X,IncT2X_6,70335.169,0.0,,
2X,IncT2X_7,13506.887,0.0,,
2X,IncT2X_8,169018.311,0.0,,
2X,IncT2X_9,18632.113,0.0,,
3X,IncT3x_1,42979.18296,1.025249,,
3X,IncT3x_10,10501.363105,3.784136,,
3X,IncT3x_2,108415.298656,0.212243,,
3X,IncT3x_3,45689.573082,1.00731,,
3X,IncT3x_4,134218.018056,0.192956,,
3X,IncT3x_5,40503.384026,0.569378,,
3X,IncT3x_6,73092.751498,0.498271,,
3X,IncT3x_7,15564.893466,6.189942,,
3X,IncT3x_8,171765.74598,0.102925,,
3X,IncT3x_9,21057.503957,3.314671,,
4X,IncT4x_1,45448.028958,3.055991,,
4X,IncT4x_10,12515.283732,6.430115,,
4X,IncT4x_2,110607.975981,1.156654,,
4X,IncT4x_3,48583.051269,1.790697,,
4X,IncT4x_4,136586.18608,0.617685,,
4X,IncT4x_5,42873.136315,1.204916,,
4X,IncT4x_6,75649.648206,1.512332,,
4X,IncT4x_7,16244.250381,17.789713,,
4X,IncT4x_8,174178.666981,0.298938,,
4X,IncT4x_9,23391.565429,5.255987,,
5X,IncT5x_1,47662.707147,5.677644,,
5X,IncT5x_10,13779.688617,18.771425,,
5X,IncT5x_2,112895.17708,3.293574,,
5X,IncT5x_3,51461.815644,3.936209,,
5X,IncT5x_4,138997.565845,1.450746,,
5X,IncT5x_5,45181.148493,2.074296,,
5X,IncT5x_6,77922.383059,3.420418,,
5X,IncT5x_7,18546.29353,16.330685,,
5X,IncT5x_8,175931.402325,0.903967,,
5X,IncT5x_9,24011.330431,16.202214,,
8X,IncT8x_2,119114.37535,6.981244,119114.37535,6.981244
8X,IncT8x_3,56443.211709,16.500528,56443.211709,16.500528
8X,IncT8x_4,146138.917624,8.412199,146138.917624,8.412199
8X,IncT8x_5,51343.598242,13.179082,51343.598242,13.179082
8X,IncT8x_6,86447.032741,9.649034,86447.032741,9.649034
10X,IncT10x_2,121983.558742,25.435862,121983.558742,25.435862
10X,IncT10x_3,63022.489107,21.896134,63022.489107,21.896134
10X,IncT10x_4,149996.9316,11.236814,149996.9316,11.236814
10X,IncT10x_5,56266.832414,15.638102,56266.832414,15.638102
10X,IncT10x_6,89998.806037,19.14163,89998.806037,19.14163
